experiment_id,agent,seed,episode_id,track,year,race_name,lap_index,current_lap,position_before,position_after,tyre_compound_before,tyre_compound_after,tyre_age_before,tyre_age_after,track_wetness,safety_car_flag,pit_window,gap_to_leader,gap_ahead,gap_behind,action,action_name,action_valid,reward,cumulative_reward,lap_time,lap_delta,terminated,truncated,inference_ms,observation,next_observation,mask_0,q_0,mask_1,q_1,mask_2,q_2,mask_3,q_3,mask_4,q_4,mask_5,q_5
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,0,1,1,1,2,2,1,2,0,0,,,99.9,4.546646361276046,0,stay_out,True,0.0,0.0,81.97773433369326,0.0,False,False,15.4453,,,True,-0.049718230962753296,False,-0.41803544759750366,False,-0.2863169014453888,False,-0.2557644546031952,False,-0.30824220180511475,False,-0.3695594072341919
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,1,2,1,1,2,2,2,3,0,0,,,99.9,6.728922027582769,0,stay_out,True,-0.036606271168463426,-0.036606271168463426,82.3437970453779,0.3660627116846342,False,False,0.7013,,,True,-0.02665083296597004,False,-0.3925692141056061,False,-0.2695963978767395,False,-0.23223499953746796,False,-0.2697136104106903,False,-0.2786087095737457
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,2,3,1,1,2,2,3,4,0,0,,,99.9,8.059124982204878,0,stay_out,True,0.0,-0.036606271168463426,81.9543908533861,0.0,False,False,0.5997,,,True,-0.05667469650506973,True,-0.361501544713974,True,-0.2537851929664612,False,-0.23885026574134827,False,-0.32316121459007263,False,-0.21242327988147736
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,3,4,1,1,2,2,4,5,0,0,,,99.9,9.903724128818794,0,stay_out,True,-0.020312330985109386,-0.05691860215357281,82.1575141632372,0.20312330985109384,False,False,0.5052,,,True,-0.062281787395477295,True,-0.35782188177108765,True,-0.23120436072349548,False,-0.14523077011108398,False,-0.4148925542831421,False,-0.054968804121017456
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,4,5,1,1,2,2,5,6,0,0,,,99.9,11.334209965581579,0,stay_out,True,-0.03011396309408383,-0.08703256524765665,82.25553048432694,0.3011396309408383,False,False,0.5543,,,True,-0.06597776710987091,True,-0.31711530685424805,True,-0.19698140025138855,False,-0.1593790054321289,False,-0.3696081042289734,False,0.051704809069633484
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,5,6,1,1,2,2,6,7,0,0,,,99.9,12.654679481254675,0,stay_out,True,-0.022698029806380762,-0.10973059505403741,82.18137115144991,0.2269802980638076,False,False,0.498,,,True,-0.06220685690641403,True,-0.21603980660438538,True,-0.12654146552085876,False,-0.12912648916244507,False,-0.29948073625564575,False,0.15351825952529907
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,6,7,1,1,2,2,7,8,0,0,,,99.9,13.783308329804868,0,stay_out,True,-0.0321179051290855,-0.14184850018312292,82.27556990467696,0.321179051290855,False,False,0.4825,,,True,-0.0785835012793541,True,-0.1532440483570099,True,-0.1106797531247139,False,-0.10673961788415909,False,-0.22443625330924988,False,0.23699477314949036
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,7,8,1,1,2,2,8,9,0,0,,,99.9,14.646738425127865,0,stay_out,True,-0.051577183137300156,-0.1934256833204231,82.4701626847591,0.5157718313730015,False,False,0.5613,,,True,-0.08850692212581635,True,-0.130669966340065,True,-0.10101190209388733,False,-0.1064310371875763,False,-0.18298368155956268,False,0.2823331654071808
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,8,9,1,5,2,1,9,1,0,0,,,99.9,15.277575740368775,2,pit_medium,True,-10.053778479567992,-10.247204162888416,108.28746888483552,26.333078031449418,False,False,0.4749,,,True,-0.09691117703914642,True,-0.12211985886096954,True,-0.08932365477085114,False,-0.11618764698505402,False,-0.1509217768907547,False,0.3220875859260559
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,9,10,5,4,1,1,1,2,0,0,,,0.06186314446676988,0.595146855533244,0,stay_out,True,0.8234892433329918,-9.423714919555424,83.3927492100281,1.4383583566419986,False,False,0.5355,,,True,0.03449324145913124,False,-0.24821677803993225,False,-0.4438799023628235,False,-0.1089775413274765,False,-0.2408660650253296,False,0.027713481336832047
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,10,11,4,4,1,1,2,3,0,0,,,1.7066223544949253,0.5813876455051741,0,stay_out,True,-0.0929195999347101,-9.516634519490134,82.94879342636662,0.994402572980519,False,False,0.5061,,,True,-0.07163319736719131,False,-0.01702062040567398,False,-0.18115869164466858,False,-0.18623507022857666,False,-0.18511849641799927,False,0.2988203763961792
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,11,12,4,18,1,0,3,1,0,0,,,1.1694157808615273,1.5255942191386112,1,pit_soft,True,-41.56208889130207,-51.0787234107922,108.27323307332155,26.318842219935448,False,False,0.5707,,,True,-0.056802116334438324,True,-0.02196357399225235,False,-0.1590692102909088,True,-0.17043253779411316,False,-0.18913134932518005,False,0.30123841762542725
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,12,13,18,18,0,0,1,2,0,0,,,5.415478854182993,12.094501145817048,0,stay_out,True,0.03310942303703115,-51.04561398775517,82.37064831150781,0.4162574581217058,False,False,0.545,,,True,0.05386938899755478,False,-0.12521737813949585,False,-0.07393712550401688,False,-0.3013358414173126,False,-0.39689794182777405,False,0.03256037086248398
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,13,14,18,18,0,0,2,3,0,0,,,2.672127165690881,13.57285283430906,0,stay_out,True,-0.054683004721317735,-51.10029699247649,82.78911045029965,0.8347195969135441,False,False,0.603,,,True,0.04205898568034172,False,-0.24262908101081848,False,-0.3538481593132019,False,-0.3397918939590454,False,-0.3570737838745117,False,0.13751383125782013
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,14,15,18,17,0,0,3,4,0,0,,,0.013237615990419727,14.732742384009498,0,stay_out,True,0.8980271611727176,-50.20226983130377,82.98755962082949,1.0331687674433851,False,False,0.5061,,,True,0.003157366067171097,False,-0.2148657590150833,True,-0.2747604250907898,True,-0.28389424085617065,False,-0.3606858253479004,False,0.0950319766998291
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,15,16,17,16,0,0,4,5,0,0,,,0.3408272368201324,1.523202763180052,0,stay_out,True,0.9235428756925017,-49.27872695561126,82.80448104823056,0.850090194844455,False,False,0.7185,,,True,0.025588130578398705,False,-0.17940089106559753,True,-0.2963590621948242,True,-0.2549058794975281,False,-0.22318272292613983,False,0.12294281274080276
benchmark-20260730-211116-3049d3,dqn,1001,dqn-1001-319ea728,Monza,2025,HAD,16,17,16,16,0,0,5,6,0,0,,,4.7333182850507,1.2886917149492092,0,stay_out,True,-0.034351516688158765,-49.31307847229942,82.51245301013391,0.558062156747809,False,False,0.5764,,,True,-0.025524744763970375,False,-0.027480820193886757,True,-0.28938111662864685,True,-0.24882106482982635,False,-0.2660521864891052,False,0.22771424055099487
