experiment_id,agent,seed,episode_id,track,year,race_name,completed,laps_completed,total_reward,starting_position,final_position,position_gain,total_race_time,mean_lap_time,mean_lap_delta,pit_count,invalid_action_count,invalid_action_rate,mean_inference_ms,median_inference_ms,p95_inference_ms,parameter_count,checkpoint_path
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,True,78,-114.55,14,17,-3.0,6123.884,78.511,0.511,8,0,0.0,0.7962,0.829,1.1644,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1001,qrl-1001-monaco,monaco,2026,Monaco Grand Prix,True,78,-28.2,6,1,5.0,6130.845,78.601,0.601,12,0,0.0,2.3913,2.3008,3.5094,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1002,dqn-1002-monaco,monaco,2026,Monaco Grand Prix,True,78,-75.8,14,7,7.0,6121.451,78.48,0.48,8,0,0.0,0.8409,0.8416,1.1442,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1002,qrl-1002-monaco,monaco,2026,Monaco Grand Prix,True,78,-69.8,12,6,6.0,6109.421,78.326,0.326,9,0,0.0,2.2632,2.1916,3.3538,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1003,dqn-1003-monaco,monaco,2026,Monaco Grand Prix,True,78,-67.05,13,8,5.0,6133.748,78.638,0.638,12,0,0.0,0.8619,0.8996,1.1614,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1003,qrl-1003-monaco,monaco,2026,Monaco Grand Prix,True,78,-57.35,15,2,13.0,6128.779,78.574,0.574,9,0,0.0,2.3053,2.2101,3.4785,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1004,dqn-1004-monaco,monaco,2026,Monaco Grand Prix,True,78,-33.1,6,1,5.0,6119.286,78.452,0.452,6,0,0.0,0.8045,0.7957,1.1491,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1004,qrl-1004-monaco,monaco,2026,Monaco Grand Prix,True,78,-87.75,11,9,2.0,6125.171,78.528,0.528,9,0,0.0,2.4632,2.5122,3.5153,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1005,dqn-1005-monaco,monaco,2026,Monaco Grand Prix,True,78,-54.8,9,8,1.0,6107.796,78.305,0.305,6,0,0.0,0.8025,0.8065,1.1342,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1005,qrl-1005-monaco,monaco,2026,Monaco Grand Prix,True,78,-83.85,11,14,-3.0,6115.486,78.404,0.404,9,0,0.0,2.3319,2.3086,3.4901,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1001,dqn-1001-monza,monza,2026,Monza Grand Prix,True,53,-64.6,11,9,2.0,4134.601,78.011,0.011,5,0,0.0,0.8688,0.8558,1.1855,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1001,qrl-1001-monza,monza,2026,Monza Grand Prix,True,53,-41.95,8,1,7.0,4146.996,78.245,0.245,5,0,0.0,2.3492,2.3511,3.366,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1002,dqn-1002-monza,monza,2026,Monza Grand Prix,True,53,-49.1,10,10,0.0,4156.84,78.431,0.431,5,0,0.0,0.8086,0.801,1.1822,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1002,qrl-1002-monza,monza,2026,Monza Grand Prix,True,53,-83.45,14,15,-1.0,4171.11,78.7,0.7,5,0,0.0,2.4636,2.4033,3.4027,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1003,dqn-1003-monza,monza,2026,Monza Grand Prix,True,53,-78.8,13,18,-5.0,4162.768,78.543,0.543,6,0,0.0,0.763,0.7481,1.1797,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1003,qrl-1003-monza,monza,2026,Monza Grand Prix,True,53,-54.8,14,7,7.0,4155.119,78.398,0.398,5,0,0.0,2.3376,2.2934,3.346,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1004,dqn-1004-monza,monza,2026,Monza Grand Prix,True,53,-66.15,11,13,-2.0,4139.021,78.095,0.095,5,0,0.0,0.8196,0.7784,1.141,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1004,qrl-1004-monza,monza,2026,Monza Grand Prix,True,53,-43.75,11,4,7.0,4145.043,78.208,0.208,6,0,0.0,2.3875,2.3697,3.404,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1005,dqn-1005-monza,monza,2026,Monza Grand Prix,True,53,-63.8,15,9,6.0,4164.466,78.575,0.575,6,0,0.0,0.8289,0.7864,1.175,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1005,qrl-1005-monza,monza,2026,Monza Grand Prix,True,53,-49.95,11,12,-1.0,4159.844,78.488,0.488,5,0,0.0,2.2468,2.2918,3.4372,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1001,dqn-1001-silverstone,silverstone,2026,Silverstone Grand Prix,True,52,-50.65,11,8,3.0,4086.077,78.578,0.578,4,0,0.0,0.7932,0.7387,1.1342,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1001,qrl-1001-silverstone,silverstone,2026,Silverstone Grand Prix,True,52,-30.2,8,5,3.0,4092.888,78.709,0.709,8,0,0.0,2.5951,2.6491,3.5199,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1002,dqn-1002-silverstone,silverstone,2026,Silverstone Grand Prix,True,52,-19.35,6,1,5.0,4094.87,78.748,0.748,7,0,0.0,0.807,0.7647,1.1635,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1002,qrl-1002-silverstone,silverstone,2026,Silverstone Grand Prix,True,52,-24.85,6,2,4.0,4094.917,78.748,0.748,6,0,0.0,2.2949,2.3456,3.427,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1003,dqn-1003-silverstone,silverstone,2026,Silverstone Grand Prix,True,52,-69.3,11,12,-1.0,4071.42,78.297,0.297,6,0,0.0,0.7945,0.8141,1.1383,48000,checkpoints/dqn/sample/final.pt
sample-run,qrl,1003,qrl-1003-silverstone,silverstone,2026,Silverstone Grand Prix,True,52,-62.4,12,13,-1.0,4079.574,78.453,0.453,6,0,0.0,2.4327,2.4184,3.5309,5200,checkpoints/qrl/sample/final.pt
sample-run,dqn,1004,dqn-1004-silverstone,silverstone,2026,Silverstone Grand Prix,True,52,-32.75,7,7,0.0,4066.777,78.207,0.207,6,0,0.0,0.805,0.8149,1.1539,48000,checkpoints/dqn/sample/final.pt
