experiment_id,agent,seed,episode_id,track,year,race_name,lap_index,current_lap,position_before,position_after,tyre_compound_before,tyre_compound_after,tyre_age_before,tyre_age_after,track_wetness,safety_car_flag,pit_window,gap_to_leader,gap_ahead,gap_behind,action,action_name,action_valid,reward,cumulative_reward,lap_time,lap_delta,terminated,truncated,inference_ms,observation,next_observation,mask_0,q_0,mask_1,q_1,mask_2,q_2,mask_3,q_3,mask_4,q_4,mask_5,q_5
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,0,0,12,13,medium,medium,0,1,0.0,False,False,19.55,2.64,0.58,0,stay_out,True,-1.3,-1.3,78.146,0.146,False,False,0.9837,,,True,0.9643,True,0.3616,True,1.304,True,0.9471,False,-0.7037,False,-1.2654
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,1,1,12,13,medium,medium,1,2,0.0,False,False,38.95,2.95,2.21,0,stay_out,True,-1.3,-2.6,78.534,0.534,False,False,0.9204,,,True,2.5425,True,-0.1285,True,1.3665,True,-0.6652,False,0.3515,False,0.9035
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,2,2,12,13,medium,medium,2,3,0.0,False,False,30.64,1.3,1.99,0,stay_out,True,-1.3,-3.9,77.869,-0.131,False,False,0.6703,,,True,2.0408,True,0.2147,True,0.3554,True,-0.6538,False,-0.1296,False,0.784
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,3,3,11,12,medium,medium,3,4,0.0,False,False,20.71,1.63,2.49,0,stay_out,True,-1.2,-5.1,80.432,2.432,False,False,0.5845,,,True,3.3016,True,1.3151,True,0.3574,True,-1.2083,False,-0.0045,False,0.6565
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,4,4,10,11,medium,medium,4,5,0.0,False,False,26.88,2.82,1.6,0,stay_out,True,-1.1,-6.2,80.187,2.187,False,False,1.1637,,,True,1.0041,True,0.329,True,-0.2586,True,1.5835,False,1.3204,False,0.6334
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,5,5,10,11,medium,medium,5,6,0.0,False,False,28.62,2.28,2.83,0,stay_out,True,-1.1,-7.3,76.535,-1.465,False,False,0.4919,,,True,0.8385,True,0.935,True,0.0491,True,2.0024,False,0.1885,False,-0.6332
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,6,6,11,12,medium,medium,6,7,0.0,False,False,32.8,1.7,1.08,0,stay_out,True,-1.2,-8.5,80.167,2.167,False,False,1.0415,,,True,1.2126,True,1.5744,True,-0.4328,True,-0.7355,False,0.2498,False,1.0315
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,7,7,11,12,medium,medium,7,8,0.0,True,False,31.64,1.78,2.82,0,stay_out,True,-1.2,-9.7,79.208,1.208,False,False,0.4529,,,True,0.2196,True,-0.7131,True,0.621,True,-2.2501,False,0.3864,False,-0.5816
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,8,8,10,11,medium,medium,8,9,0.0,False,False,18.56,1.22,1.97,0,stay_out,True,-1.1,-10.8,79.192,1.192,False,False,0.8433,,,True,2.6649,True,0.7876,True,0.8441,True,0.0756,False,-1.4268,False,-0.135
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,9,9,9,10,medium,medium,9,10,0.0,False,False,17.18,1.52,2.77,0,stay_out,True,-1.0,-11.8,78.63,0.63,False,False,0.4345,,,True,2.8225,True,-0.0139,True,1.0418,True,1.4023,False,1.1502,False,-2.3653
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,10,10,9,10,medium,medium,10,11,0.0,False,False,16.9,2.66,0.65,0,stay_out,True,-1.0,-12.8,75.938,-2.062,False,False,0.7046,,,True,1.3911,True,-0.8037,True,1.0802,True,-0.2888,False,0.0835,False,-0.8496
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,11,11,10,11,medium,medium,11,12,0.0,False,False,21.71,0.96,2.7,0,stay_out,True,-1.1,-13.9,77.883,-0.117,False,False,1.0499,,,True,0.97,True,-0.2362,True,1.8165,True,-0.0498,False,0.0866,False,-1.4871
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,12,12,11,12,medium,medium,12,13,0.0,False,False,25.12,2.78,1.9,0,stay_out,True,-1.2,-15.1,78.077,0.077,False,False,0.8627,,,True,0.0261,True,1.0289,True,-1.935,True,-0.2399,False,-0.2045,False,-1.0429
sample-run,dqn,1001,dqn-1001-monaco,monaco,2026,Monaco Grand Prix,13,13,11,12,medium,medium,13,14,0.0,False,False,21.38,2.18,0.99,0,stay_out,True,-1.2,-16.3,75.947,-2.053,False,False,0.8622,,,True,0.1922,True,1.0868,True,-0.0506,True,-0.2831,False,1.6433,False,-1.2826
