agent,track,metric,count,mean,std,median,minimum,maximum,ci_low,ci_high,lower_is_better
dqn,monaco,total_reward,5,-69.06,30.063586778692926,-67.05,-114.55,-33.1,-95.41189568437156,-42.70810431562845,False
dqn,monaco,final_position,5,8.2,5.718391382198319,8.0,1.0,17.0,3.1876089538025862,13.212391046197412,True
dqn,monaco,position_gain,5,3.0,4.0,5.0,-3.0,7.0,-0.5061545887196699,6.50615458871967,False
dqn,monaco,total_race_time,5,6121.233,9.327973091727674,6121.451,6107.796,6133.748,6113.056671085246,6129.409328914754,True
dqn,monaco,mean_lap_time,5,78.47720000000001,0.11968166108472839,78.48,78.305,78.638,78.37229439870056,78.58210560129946,True
dqn,monaco,mean_lap_delta,5,0.4772,0.11968166108472927,0.48,0.305,0.638,0.37229439870054604,0.582105601299454,True
dqn,monaco,pit_count,5,8.0,2.449489742783178,8.0,6.0,12.0,5.852927574579748,10.147072425420252,False
dqn,monaco,invalid_action_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
dqn,monaco,mean_inference_ms,5,0.8211999999999999,0.02871480454399785,0.8045,0.7962,0.8619,0.7960303640709683,0.8463696359290316,True
dqn,monaco,p95_inference_ms,5,1.15066,0.012442186303057814,1.1491,1.1342,1.1644,1.1397539428499572,1.1615660571500428,True
dqn,monza,total_reward,5,-64.49,10.545994500283033,-64.6,-78.8,-49.1,-73.73397175244493,-55.24602824755506,False
dqn,monza,final_position,5,11.8,3.8340579025361627,10.0,9.0,18.0,8.439300072901482,15.16069992709852,True
dqn,monza,position_gain,5,0.2,4.147288270665545,0.0,-5.0,6.0,-3.4352584502343158,3.835258450234316,False
dqn,monza,total_race_time,5,4151.5392,13.82836341365121,4156.84,4134.601,4164.466,4139.418105040686,4163.660294959314,True
dqn,monza,mean_lap_time,5,78.331,0.261044057584159,78.431,78.011,78.575,78.10218479491083,78.55981520508918,True
dqn,monza,mean_lap_delta,5,0.331,0.2610440575841557,0.431,0.011,0.575,0.10218479491082769,0.5598152050891724,True
dqn,monza,pit_count,5,5.4,0.5477225575051661,5.0,5.0,6.0,4.919900010414498,5.880099989585503,False
dqn,monza,invalid_action_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
dqn,monza,mean_inference_ms,5,0.81778,0.0381284932825833,0.8196,0.763,0.8688,0.7843589020790758,0.8512010979209241,True
dqn,monza,p95_inference_ms,5,1.17268,0.018119519861188357,1.1797,1.141,1.1855,1.1567975405733242,1.1885624594266757,True
dqn,silverstone,total_reward,5,-48.63,22.61483473298003,-50.65,-71.1,-19.35,-68.45277664304373,-28.80722335695628,False
dqn,silverstone,final_position,5,8.0,4.527692569068709,8.0,1.0,12.0,4.031302480661949,11.96869751933805,True
dqn,silverstone,position_gain,5,2.0,2.449489742783178,3.0,-1.0,5.0,-0.14707242542025112,4.147072425420252,False
dqn,silverstone,total_race_time,5,4078.6654000000003,11.526520086305297,4074.183,4066.777,4094.87,4068.5619596768584,4088.7688403231423,True
dqn,silverstone,mean_lap_time,5,78.436,0.2217352024375068,78.35,78.207,78.748,78.24164052562327,78.63035947437675,True
dqn,silverstone,mean_lap_delta,5,0.43600000000000005,0.22173520243750203,0.35,0.207,0.748,0.2416405256232669,0.6303594743767332,True
dqn,silverstone,pit_count,5,5.8,1.0954451150103321,6.0,4.0,7.0,4.839800020828994,6.760199979171006,False
dqn,silverstone,invalid_action_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
dqn,silverstone,mean_inference_ms,5,0.7986000000000001,0.0068113875238456625,0.7945,0.7932,0.807,0.7926295555944303,0.8045704444055699,True
dqn,silverstone,p95_inference_ms,5,1.14824,0.01193934671579641,1.1513,1.1342,1.1635,1.1377747011815238,1.158705298818476,True
qrl,monaco,total_reward,5,-65.39,24.02044441720427,-69.8,-87.75,-28.2,-86.44484785411663,-44.33515214588337,False
qrl,monaco,final_position,5,6.4,5.319774431308154,6.0,1.0,14.0,1.7370121166788355,11.062987883321165,True
qrl,monaco,position_gain,5,4.6,5.856620185738529,5.0,-3.0,13.0,-0.533553934653848,9.733553934653848,False
qrl,monaco,total_race_time,5,6121.9404,9.149997038250985,6125.171,6109.421,6130.845,6113.920073974392,6129.960726025609,True
qrl,monaco,mean_lap_time,5,78.4866,0.11731922263636366,78.528,78.326,78.601,78.38376516730212,78.58943483269788,True
qrl,monaco,mean_lap_delta,5,0.4866,0.11731922263636081,0.528,0.326,0.601,0.38376516730212473,0.5894348326978752,True
qrl,monaco,pit_count,5,9.6,1.3416407864998738,9.0,9.0,12.0,8.424,10.776,False
qrl,monaco,invalid_action_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
qrl,monaco,mean_inference_ms,5,2.35098,0.07806258386704872,2.3319,2.2632,2.4632,2.282555128341808,2.4194048716581915,True
qrl,monaco,p95_inference_ms,5,3.4694199999999995,0.06629756405781427,3.4901,3.3538,3.5153,3.411307622889439,3.52753237711056,True
qrl,monza,total_reward,5,-54.779999999999994,16.819393568140324,-49.95,-83.45,-41.95,-69.52284848460432,-40.03715151539567,False
qrl,monza,final_position,5,7.8,5.718391382198319,7.0,1.0,15.0,2.7876089538025868,12.812391046197412,True
qrl,monza,position_gain,5,3.8,4.3817804600413295,7.0,-1.0,7.0,-0.04079991668402361,7.640799916684023,False
qrl,monza,total_race_time,5,4155.622399999999,10.538969982877786,4155.119,4145.043,4171.11,4146.384585508537,4164.860214491461,True
qrl,monza,mean_lap_time,5,78.4078,0.19895527135514707,78.398,78.208,78.7,78.23340801559704,78.58219198440295,True
qrl,monza,mean_lap_delta,5,0.40779999999999994,0.19895527135514654,0.398,0.208,0.7,0.2334080155970464,0.5821919844029535,True
qrl,monza,pit_count,5,5.2,0.4472135954999579,5.0,5.0,6.0,4.808,5.5920000000000005,False
qrl,monza,invalid_action_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
qrl,monza,mean_inference_ms,5,2.3569400000000003,0.07885910220133124,2.3492,2.2468,2.4636,2.2878169492386227,2.426063050761378,True
qrl,monza,p95_inference_ms,5,3.39118,0.03567270665368681,3.4027,3.346,3.4372,3.3599114939685313,3.4224485060314684,True
qrl,silverstone,total_reward,5,-47.72,20.630032719314816,-47.8,-73.35,-24.85,-65.80302097106565,-29.636979028934356,False
qrl,silverstone,final_position,5,8.2,5.540758070878027,6.0,2.0,15.0,3.343311416201364,13.056688583798636,True
qrl,silverstone,position_gain,5,2.6,3.2093613071762426,3.0,-1.0,7.0,-0.21312921850383493,5.413129218503835,False
qrl,silverstone,total_race_time,5,4082.3962,11.722653697009047,4079.574,4066.341,4094.917,4072.120840987065,4092.671559012935,True
qrl,silverstone,mean_lap_time,5,78.50739999999999,0.22522499861250128,78.453,78.199,78.748,78.3099815844051,78.70481841559489,True
qrl,silverstone,mean_lap_delta,5,0.5074,0.2252249986124986,0.453,0.199,0.748,0.30998158440510165,0.7048184155948982,True
qrl,silverstone,pit_count,5,5.8,1.7888543819998317,6.0,3.0,8.0,4.232,7.367999999999999,False
qrl,silverstone,invalid_action_rate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
qrl,silverstone,mean_inference_ms,5,2.41162,0.11833085819007648,2.4147,2.2949,2.5951,2.3078984296424316,2.5153415703575686,True
qrl,silverstone,p95_inference_ms,5,3.46588,0.06521351087006422,3.4765,3.3751,3.5309,3.408717837404101,3.5230421625958988,True
